CRC_names,CRC_pvals,CRC_pvals_adj,CRC_logfoldchanges,IBD_names,IBD_pvals,IBD_pvals_adj,IBD_logfoldchanges
S100A11,3.41E-62,2.05E-59,8.493024,TPT1,1.07E-182,1.54E-178,24.32713
JUN,6.32E-51,3.05E-48,10.398469,B2M,3.27E-170,2.37E-166,23.828606
FOS,8.99E-43,4.06E-40,8.216342,TMSB4X,1.77E-164,8.53E-161,23.093693
HSPA1A,5.01E-38,1.96E-35,8.22061,SRGN,1.00E-159,3.61E-156,19.63349
DNPH1,3.88E-36,1.48E-33,5.2991858,EEF1A1,2.59E-153,7.50E-150,19.523405
HLA-DRB1,4.96E-36,1.84E-33,6.371778,BTG1,4.80E-147,1.16E-143,19.122301
NDUFA13,7.16E-36,2.59E-33,5.0348477,PTMA,1.72E-145,3.55E-142,19.337933
PLP2,1.46E-35,5.15E-33,5.3972707,RGS1,1.01E-131,1.83E-128,20.075102
LGALS3,4.48E-32,1.51E-29,4.9133034,EIF1,3.72E-126,5.98E-123,14.8074875
HSPA1B,8.47E-31,2.78E-28,7.2026467,EEF1D,9.74E-126,1.41E-122,16.77931
HSPB1,7.93E-30,2.55E-27,4.9811754,FAU,4.70E-123,6.18E-120,15.565064
PKM,1.15E-29,3.60E-27,5.7421064,UBA52,6.36E-120,7.66E-117,14.93219
LGALS1,7.23E-29,2.18E-26,5.7899647,CD3E,8.16E-118,9.08E-115,11.111709
HLA-DPB1,1.50E-28,4.42E-26,4.3916125,ACTB,4.63E-109,4.78E-106,12.933875
TSPO,8.77E-28,2.44E-25,3.8860266,NACA,6.38E-98,6.14E-95,13.448652
IL2RG,1.34E-27,3.66E-25,5.782861,FTH1,2.12E-92,1.92E-89,13.643405
CLIC1,1.54E-27,4.05E-25,6.124589,UQCRB,2.43E-90,2.07E-87,13.606116
NDUFA3,6.31E-27,1.55E-24,3.8522937,TSC22D3,2.34E-82,1.88E-79,13.586911
S100A6,1.63E-26,3.93E-24,8.212216,PFDN5,5.34E-71,4.07E-68,10.743449
IER2,4.58E-26,1.09E-23,4.6085997,FTL,1.02E-69,7.35E-67,10.73882
ENO1,2.42E-25,5.64E-23,5.8110375,HLA-B,8.14E-69,5.60E-66,9.478439
ANXA2,3.05E-25,7.00E-23,4.3115034,EEF1B2,6.76E-68,4.44E-65,13.107676
HLA-F,2.07E-24,4.69E-22,3.96238,TOMM7,1.01E-65,6.34E-63,12.109397
TUBA1B,1.57E-23,3.43E-21,3.8128169,ACTG1,2.39E-59,1.38E-56,7.9978323
FOXP3,1.72E-23,3.72E-21,3.6459029,SAT1,1.52E-58,8.44E-56,12.737202
ITGB2,2.59E-23,5.52E-21,3.4765196,COX7C,7.58E-58,4.06E-55,9.498535
PSAP,6.39E-23,1.32E-20,3.2964394,TMSB10,1.94E-56,1.00E-53,8.900572
TAP1,7.09E-23,1.44E-20,3.4432707,BTF3,5.47E-52,2.73E-49,8.6615925
SELL,3.01E-22,5.87E-20,3.9755795,NPM1,3.50E-45,1.63E-42,8.599902
VIM,3.54E-22,6.83E-20,6.5633416,CREM,2.20E-41,9.62E-39,13.963498
TMED9,4.71E-22,8.96E-20,3.8176095,KLRB1,5.27E-40,2.24E-37,18.263264
NDUFC2,5.94E-22,1.12E-19,3.2097912,PTPRC,1.17E-39,4.82E-37,8.743734
PGAM1,1.27E-21,2.35E-19,3.4858205,CYTIP,2.47E-39,9.91E-37,9.365758
TRAF3IP3,3.57E-21,6.45E-19,3.4474933,HINT1,1.11E-34,3.82E-32,7.469337
SOCS1,5.61E-21,1.00E-18,4.0431447,RORA,1.97E-29,6.06E-27,10.33617
COX17,6.80E-21,1.20E-18,3.3053172,NAP1L1,1.72E-28,4.98E-26,8.01398
SH2D2A,1.13E-20,1.93E-18,3.2309222,STK4,7.97E-28,2.26E-25,10.178077
TNFRSF18,1.96E-20,3.26E-18,4.7983127,CIRBP,1.40E-27,3.76E-25,7.604319
CD63,2.16E-20,3.56E-18,3.5984268,DDX5,2.40E-27,6.19E-25,5.6828656
NDUFC1,3.90E-20,6.33E-18,3.253013,CD3D,4.39E-27,1.11E-24,5.066467
TYMP,4.42E-20,7.10E-18,3.7337077,GAPDH,4.63E-27,1.16E-24,3.5847661
LAIR2,4.82E-20,7.66E-18,3.925118,SUMO2,2.16E-24,4.81E-22,5.3163896
S100A10,5.83E-20,9.17E-18,4.297374,SRP14,6.38E-23,1.32E-20,5.8371534
TNFRSF1B,6.18E-20,9.60E-18,3.5302417,EIF3E,7.47E-23,1.50E-20,7.4377685
IFITM2,7.24E-20,1.11E-17,3.5288858,IL32,1.70E-22,3.37E-20,4.796671
ANXA6,7.89E-20,1.20E-17,3.4390588,ITM2B,2.07E-21,3.78E-19,5.6350203
TIMP1,1.44E-19,2.17E-17,3.6614013,ARHGDIB,9.58E-21,1.67E-18,4.2099743
NDUFB2,1.70E-19,2.51E-17,3.0587368,GPR183,1.09E-20,1.88E-18,9.157214
LRPAP1,2.29E-19,3.31E-17,3.4307764,ELF1,1.47E-20,2.48E-18,8.686383
TMEM258,3.28E-19,4.69E-17,3.4691706,SUB1,1.58E-19,2.35E-17,5.7065735
HSPE1,4.96E-19,7.04E-17,2.9234426,TNFAIP3,1.95E-19,2.85E-17,8.268227
TXN,5.89E-19,8.27E-17,3.1888416,COMMD6,3.36E-18,4.45E-16,6.0235953
